Layer,Count,Group,Metric
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.5,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,8.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.5,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.5,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.5,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.5,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.5,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,8.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.5,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,11.5,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.5,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.5,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,17.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.5,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,9.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,16.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,14.0,MCC Cre +,Count
Basal,12.0,MCC Cre +,Count
Basal,10.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,11.0,MCC Cre +,Count
Basal,13.0,MCC Cre +,Count
Basal,15.0,MCC Cre +,Count
